"QNA_ACCOUNT","Account","QNA_INDICATOR","Indicator","QNA_BRANCH","Industry breakdown","QNA_PRICE","Price type and unit","QNA_ADJ","Adjustment","FREQUENCY","Frequency","TIME","Time","Value","Flag Codes","Flags"
"1","Gross value added by industry","B1GM","Gross domestic product ","VZ","Total economy","L","Chained 2015 euros (in millions of euro)","Y","Working day and seasonally adjusted","Q","Quarterly","2019-Q2","2019Q2",111175,,
"1","Gross value added by industry","B1GM","Gross domestic product ","VZ","Total economy","L","Chained 2015 euros (in millions of euro)","Y","Working day and seasonally adjusted","Q","Quarterly","2020-Q2","2020Q2",96926,"P","Provisional"
"1","Gross value added by industry","B1GM","Gross domestic product ","VZ","Total economy","L","Chained 2015 euros (in millions of euro)","Y","Working day and seasonally adjusted","Q","Quarterly","2020-Q3","2020Q3",108321,"P","Provisional"
"1","Gross value added by industry","B1GM","Gross domestic product ","VZ","Total economy","L","Chained 2015 euros (in millions of euro)","Y","Working day and seasonally adjusted","Q","Quarterly","2021-Q2","2021Q2",111262,"P","Provisional"
"1","Gross value added by industry","B1GM","Gross domestic product ","VZ","Total economy","L","Chained 2015 euros (in millions of euro)","Y","Working day and seasonally adjusted","Q","Quarterly","2021-Q3","2021Q3",113873,"P","Provisional"
"1","Gross value added by industry","B1GM","Gross domestic product ","VZ","Total economy","L","Chained 2015 euros (in millions of euro)","Y","Working day and seasonally adjusted","Q","Quarterly","2022-Q3","2022Q3",116213,"P","Provisional"
"1","Gross value added by industry","B1GM","Gross domestic product ","VZ","Total economy","L","Chained 2015 euros (in millions of euro)","Y","Working day and seasonally adjusted","Q","Quarterly","2019-Q1","2019Q1",110563,,
"1","Gross value added by industry","B1GM","Gross domestic product ","VZ","Total economy","L","Chained 2015 euros (in millions of euro)","Y","Working day and seasonally adjusted","Q","Quarterly","2020-Q1","2020Q1",109395,"P","Provisional"
"1","Gross value added by industry","B1GM","Gross domestic product ","VZ","Total economy","L","Chained 2015 euros (in millions of euro)","Y","Working day and seasonally adjusted","Q","Quarterly","2021-Q1","2021Q1",109329,"P","Provisional"
"1","Gross value added by industry","B1GM","Gross domestic product ","VZ","Total economy","L","Chained 2015 euros (in millions of euro)","Y","Working day and seasonally adjusted","Q","Quarterly","2022-Q1","2022Q1",115234,"P","Provisional"
"1","Gross value added by industry","B1GM","Gross domestic product ","VZ","Total economy","L","Chained 2015 euros (in millions of euro)","Y","Working day and seasonally adjusted","Q","Quarterly","2022-Q2","2022Q2",115849,"P","Provisional"
"1","Gross value added by industry","B1GM","Gross domestic product ","VZ","Total economy","L","Chained 2015 euros (in millions of euro)","Y","Working day and seasonally adjusted","Q","Quarterly","2019-Q3","2019Q3",111984,,
"1","Gross value added by industry","B1GM","Gross domestic product ","VZ","Total economy","L","Chained 2015 euros (in millions of euro)","Y","Working day and seasonally adjusted","Q","Quarterly","2019-Q4","2019Q4",112651,,
"1","Gross value added by industry","B1GM","Gross domestic product ","VZ","Total economy","L","Chained 2015 euros (in millions of euro)","Y","Working day and seasonally adjusted","Q","Quarterly","2020-Q4","2020Q4",107793,"P","Provisional"
"1","Gross value added by industry","B1GM","Gross domestic product ","VZ","Total economy","L","Chained 2015 euros (in millions of euro)","Y","Working day and seasonally adjusted","Q","Quarterly","2021-Q4","2021Q4",114528,"P","Provisional"
"1","Gross value added by industry","B1GM","Gross domestic product ","VZ","Total economy","L","Chained 2015 euros (in millions of euro)","Y","Working day and seasonally adjusted","Q","Quarterly","2022-Q4","2022Q4",116277,"P","Provisional"
"1","Gross value added by industry","B1GM","Gross domestic product ","VZ","Total economy","L","Chained 2015 euros (in millions of euro)","N","Gross data","A","Annual","2019","2019",446374.2,,
"1","Gross value added by industry","B1GM","Gross domestic product ","VZ","Total economy","L","Chained 2015 euros (in millions of euro)","N","Gross data","A","Annual","2020","2020",422437,"P","Provisional"
"1","Gross value added by industry","B1GM","Gross domestic product ","VZ","Total economy","L","Chained 2015 euros (in millions of euro)","N","Gross data","A","Annual","2021","2021",448991.1,"P","Provisional"
"1","Gross value added by industry","B1GM","Gross domestic product ","VZ","Total economy","L","Chained 2015 euros (in millions of euro)","N","Gross data","A","Annual","2022","2022",463573.6,"P","Provisional"
"1","Gross value added by industry","B1GM","Gross domestic product ","VZ","Total economy","L","Chained 2015 euros (in millions of euro)","N","Gross data","Q","Quarterly","2019-Q2","2019Q2",112630,,
"1","Gross value added by industry","B1GM","Gross domestic product ","VZ","Total economy","L","Chained 2015 euros (in millions of euro)","N","Gross data","Q","Quarterly","2020-Q2","2020Q2",98318,"P","Provisional"
"1","Gross value added by industry","B1GM","Gross domestic product ","VZ","Total economy","L","Chained 2015 euros (in millions of euro)","N","Gross data","Q","Quarterly","2020-Q3","2020Q3",104183,"P","Provisional"
